name,schema,description
O_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,新竹市停車場不動產買賣
P_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,雲林縣不動產買賣
P_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,雲林縣建物不動產買賣
P_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,雲林縣土地不動產買賣
P_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,雲林縣停車場不動產買賣
Q_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,嘉義縣不動產買賣
Q_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,嘉義縣建物不動產買賣
Q_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,嘉義縣土地不動產買賣
Q_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,嘉義縣停車場不動產買賣
T_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,屏東縣不動產買賣
T_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,屏東縣建物不動產買賣
T_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,屏東縣土地不動產買賣
T_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,屏東縣停車場不動產買賣
U_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,花蓮縣不動產買賣
U_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,花蓮縣建物不動產買賣
U_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,花蓮縣土地不動產買賣
U_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,花蓮縣停車場不動產買賣
V_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,臺東縣不動產買賣
V_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,臺東縣建物不動產買賣
V_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,臺東縣土地不動產買賣
W_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,金門縣不動產買賣
W_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,金門縣建物不動產買賣
W_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,金門縣土地不動產買賣
W_LVR_LAND_A_PARK.CSV,SCHEMA-PARK.CSV,金門縣停車場不動產買賣
X_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,澎湖縣不動產買賣
X_LVR_LAND_A_BUILD.CSV,SCHEMA-BUILD.CSV,澎湖縣建物不動產買賣
X_LVR_LAND_A_LAND.CSV,SCHEMA-LAND.CSV,澎湖縣土地不動產買賣
Z_LVR_LAND_A.CSV,SCHEMA-MAIN.CSV,連江縣不動產買賣
